,Attraction Name,Description,Category,Estimated Budget,Min_Budget,Max_Budget,Sentiment_Score,State
0,Kaziranga National Park,Experience the breathtaking beauty of Kaziranga National Park home to the endangered one-horned rhinoceros and diverse wildlife.,Wildlife Sanctuary,500-1500 /- per person,500,1500.0,0.7783,Assam
1,Kamakhya Temple,Discover the mystical Kamakhya Temple an ancient Hindu temple dedicated to the goddess Kamakhya.,Religious Site,Free (Donations Welcome),0,0.0,0.4588,Assam
2,Manas National Park,Immerse yourself in the pristine wilderness of Manas National Park a UNESCO World Heritage Site and tiger reserve.,Wildlife Sanctuary,1000-2000 /- per person,1000,2000.0,0.0,Assam
3,Majuli Island,Escape to the serene Majuli Island the largest river island in the world  known for its vibrant culture and scenic beauty.,Natural Beauty,1000-1500 /- per person,1000,1500.0,0.8979,Assam
4,Sualkuchi Village,Unveil the traditional weaving heritage of Assam at Sualkuchi Village renowned for its exquisite silk products.,Cultural Experience,500-1000 /- per person,500,1000.0,0.0,Assam
5,Kakochang Waterfalls,Marvel at the cascading beauty of Kakochang Waterfallsnestled amidst lush greenery and pristine surroundings.,Natural Attraction,200-500 /- per person,200,500.0,0.765,Assam
6,Pobitora Wildlife Sanctuary,Embark on a thrilling wildlife safari at Pobitora Wildlife Sanctuary home to the highest density of one-horned rhinoceros in the world.,Wildlife Sanctuary,1000-1500 /- per person,1000,1500.0,0.4767,Assam
7,Umananda Island,Explore the tranquil Umananda Island also known as the Peacock Island and visit the Umananda Temple dedicated to Lord Shiva.,Island Getaway,300-500 /- per person,300,500.0,0.4939,Assam
8,Hajo,Delve into the religious diversity of Hajo a town known for its sacred sites including Hayagriva Madhava Temple Powa Meccaand Hajo Powa Mecca.,Religious Site,Free (Donations Welcome),0,0.0,0.0,Assam
9,Assam State Zoo cum Botanical Garden,Experience an array of wildlife species and botanical wonders at the Assam State Zoo cum Botanical Garden perfect for a family outing.,Zoo & Botanical Garden,300-500/- per person,300,500.0,0.5719,Assam
10,Sivasagar Sivadol,Marvel at the grandeur of Sivasagar Sivadol a group of three Hindu temples dedicated to Lord Shiva showcasing exquisite Ahom architecture.,Historical Landmark,Free,0,0.0,0.8481,Assam
11,Dibru-Saikhowa National Park,Embark on an adventure through the diverse ecosystems of Dibru-Saikhowa National Park home to rare species such as white-winged wood duck and feral horses.,Wildlife Sanctuary,1500 -2000/- per person,1500,2000.0,0.3182,Assam
12,Tezpur Mahabhairab Temple,Visit the ancient Mahabhairab Temple in Tezpur dedicated to Lord Shiva offering panoramic views of the Brahmaputra River and surrounding landscape.,Religious Site,Free (Donations Welcome),0,0.0,0.4588,Assam
13,Haflong Lake,Relax by the tranquil shores of Haflong Lake surrounded by lush hills and offering boating and other recreational activities.,Natural Attraction,Free,0,0.0,0.4767,Assam
14,Dibrugarh Hanuman Temple,Seek blessings at the Dibrugarh Hanuman Temple a revered Hindu temple known for its spiritual significance and peaceful ambiance.,Religious Site,Free (Donations Welcome),0,0.0,0.9022,Assam
