Attraction Name,Category,Number of Reviews,Description,Review Date,Reviewer Location,Reviewer Contribution Count,Budget of vist
Tirumala Temple,Historic Sites • Religious Sites,2611,A must visit at least once in a life time.,Mar-11,2024,Secunderabad,
Diguva Ahobila Lakshmi Narasimha Swamy Temple,Religious Sites,288,Best beautiful trip,Mar-10,2024,,
INS Kurusura Submarine Museum,Speciality Museums,1634,Very special spot,Nov-03,2023,Porvorim,
Borra Caves,Caverns & Caves,1317,Simply Superb,Jan-04,2024,Hyderabad,
Sri Mallikarjuna Swamy Temple,Religious Sites,396,Excellent Temple Management well Organised,Feb-18,2024,,
Sri Padmavathi Ammavari Temple,Religious Sites,744,Nice Devine place,May-31,2023,,
Srivari Mettu,Religious Sites,163,Srivari Mettu- Good Experience,Jan-31,2024,Columbus,
Varaha Lakshmi Narasimha Temple,Religious Sites,829,Govinda Hari Govinda,Dec-16,2023,,
Tirumala Tirupati Devasthanams,Religious Sites,540,Balaji darshan - a memory for ever!,Feb-23,2024,,
Kailasagiri,Parks,1584,A must visit,Dec-16,2023,,
Sri Durga Malleswara Swamy Varla Devasthanam,Religious Sites,671,Temple premises need to be more clean and organised,Dec-30,2023,,
Srikalahasthi Temple,Religious Sites,412,Serene Environment,Feb-02,2024,,
Araku Valley,Valleys,785,lovely place,Jan-12,2024,,
Rama Krishna Beach,Beaches,868,Scenic Beach,Oct-16,2023,Navi Mumbai,
